Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
948340;;ELK;BID Rezeptfolder Ethikitchen;D;##;1;25 St;2;0;;;;;;;1
948350;;ELK;1 Cent für ökolog. Geflügelzuc;D;##;1;50 St;2;0;;;;;;;1
948430;;ELK;VON Imagefolder Endverbraucher;D;;25;St;2;0;;;;;;;1
948440;;ELK;VON Regalreiter;D;##;1;5 St;2;0;;;;;;;1
948450;;ELK;VON Plakat DIN A1 Rainbow;D;;1;St;2;0;;;;;;;1
948460;;ELK;VON Plakat DIN A1 Küche;D;;1;St;2;0;;;;;;;1
948470;;ELK;VON Rezeptheft;D;;25;St;2;0;;;;;;;1
949140;;ELK;Erzeugkart.Eisenach bei Kassel;D;##;25;St;2;0;;;;;;;1
949150;;ELK;Erzeugerkarte Sandrock;D;##;25;St;2;0;;;;;;;1
949160;;ELK;Erzeugerkarte Marienhagen;D;##;25;St;2;0;;;;;;;1
949170;;ELK;Erzeugerkarte Bauckhof;D;##;25;St;2;0;;;;;;;1
949180;;ELK;Erzeugerkarte Exposito;D;##;25;St;2;0;;;;;;;1
949190;;ELK;Erzeugerkarte Müller-Oelbke;D;##;25;St;2;0;;;;;;;1
949200;;ELK;Erzeugerkarte Rote Rübe/Schw.R;D;##;25;St;2;0;;;;;;;1
949210;;ELK;Erzeugerkarte Buchheister;D;##;25;St;2;0;;;;;;;1
949220;;ELK;Erzeugerkarte Katotofu;D;##;25;St;2;0;;;;;;;1
949260;;ELK;"Hinweiskarte ""Lose""";D;##;5;St;2;0;;;;;;;1
949270;;ELK;Erzeugerkarte Roth;D;##;25;St;2;0;;;;;;;1
949480;;ELK;VON Produktübersicht;D;;1;St;2;0;;;;;;;1
949500;;ELK;Erzeugerkarte Lindenhof;D;##;25;St;2;0;;;;;;;1
949510;;ELK;Erzeugerkarte Zimmermann;D;##;25;St;2;0;;;;;;;1
949520;;ELK;Erzeugerkarte Brodowin;D;##;25;St;2;0;;;;;;;1
949530;;ELK;Erzeugerkarte Creuzburger;D;##;25;St;2;0;;;;;;;1
949540;;ELK;Erzeugerkarte Gut Krauscha;D;##;25;St;2;0;;;;;;;1
949550;;ELK;Erzeugerkarte Jakobsberger;D;##;25;St;2;0;;;;;;;1
950110;;ELK;Einleger Steco-Kisten grün;D;;1;St;2;3,44;16,49;;;;;;1
950120;;ELK;Einleger Steco-Kisten schwarz;D;;1;St;2;3,44;16,49;;;;;;1
964469;4260013330013;ATX;Dinkelkissen 7 Kammern;D;;1;St;2;9,72;17,95;;;;;;1
964503;4260013330075;ATX;Kirschsteinkissen 7 Kammern;D;;1;St;2;7,15;12,95;;;;;;1
984220;;ECC;Flyer Sonnenschutz;D;;1;10 St;2;0;;;;;;;1
984500;;ELK;Stiller Verkoster+Schutzglocke;D;;1;Präsenter;2;0;;;;;;;1
985084;4260284210427;EBR;ECHT BIO-Regalstopper Dauernie;D;;1;20 St;2;1,8;;;;;;;1
985144;4260284210410;EBR;EB Regalstopper immer günstig;D;;1;20 St;2;1,8;;;;;;;1
985154;4260284210434;EBR;ECHT BIO Regalstopperbald da;D;##;1;20 St;2;1,8;;;;;;;1
985164;4260284210229;NPG;Deckel, weiß für Becher 200ml;D;;1;100 St;2;2,24;;;;;;;1
985165;;NPG;Kaffeemanschette f.Becher200ml;D;;1;100 St;2;1,7;;;;;;;1
985184;4260284210236;NPG;Deckel, weiß für Becher 300ml;D;;1;100 St;2;2,65;;;;;;;1
985185;;NPG;Kaffeemanschette f.Becher300ml;D;;1;100 St;2;2,95;;;;;;;1
985208;4260284210182;EBR;ECHT BIO. Mehrwegtasche rot;D;;10;St;2;1,9;;;;;;;1
985375;4260284211172;EBR;Regalstopper *Angebot*;D;;1;10 St;2;8,4;;;;;;;1
985376;4260284211189;EBR;Regalstopper Dauerniedrigpreis;D;;1;10 St;2;8,4;;;;;;;1
985377;4260284211196;EBR;Regalstopper *NEU*;D;;1;10 St;2;8,4;;;;;;;1
985378;4260284211288;EBR;EB Regalstopper vegan;D;;1;10 St;2;8,4;;;;;;;1
985379;4260284211295;EBR;EB Regalstopper laktosefrei;D;;1;10 St;2;8,4;;;;;;;1
985380;4260284211301;EBR;EB Regalstopper glutenfrei;D;;1;10 St;2;8,4;;;;;;;1
985381;4260284211233;RIW;Regional-Regalstopper +Punkte;D;;1;10 St;2;6,99;;;;;;;1
985382;4260284211608;EBR;EB Regalstopper Bald wieder da;D;;1;10 St;2;8,4;;;;;;;1
985391;;EBR;EB Regalstopper Geschenkempfeh;D;;1;10 St;2;10;;;;;;;1
985401;4260284211516;EBR;ECHT BIO. Mehrwegnetz für O&G;D;;1;5 St;2;6,5;;;;;;;1
985411;4260284211462;NPG;ECHT BIO. Faltenbeutel f. O&G;D;;1;50 St;2;3;;;;;;;1
985446;4260284210328;EBR;ECHT BIO. Schürze, grün kbA;D;;1;St;2;20;;;;;;;1
985466;4260284210335;EBR;ECHT BIO. Schürze, bordeaux kb;D;;1;St;2;20;;;;;;;1
985515;4260284210090;NPG;ECHT BIO. Obsttüten 5kg;D;;1;250 St;2;15,7;;;;;;;1
985520;4260284210014;NPG;EchtBioPapiertragetaschen groß;D;;1;250 St;2;47;;;;;;;1
985522;4260284210038;NPG;ECHT BIO. Papiertüte;D;;1;200 St;2;43;;;;;;;1
985523;4260284211752;NPG;ECHT BIO. Wein Geschenkverpack;D;;1;10 St;2;14,4;;;;;;;1
985532;4260284210045;NPG;ECHT BIO. Tiefkühltragetasche;D;;1;10 St;2;10;;;;;;;1
985535;;NPG;"""VON - für Euch nah!"" Taschen";D;;1;250 St;2;50;;;;;;;1
985540;4260284210052;NPG;ECHT BIO. Baumwolltragetasche;D;;1;50 St;2;40;;;;;;;1
985550;4260284211004;NPG;ECHT BIO. Baumwolltragetasche;D;;1;10 St;2;24;;;;;;;1
985577;;EBR;Rezeptkartenhalter f. DIN A6;D;;1;St;2;7,2;;;;;;;1
985580;4260284210076;NPG;ECHT BIO. Obsttüten 1kg;D;;1;500 St;2;8,9;;;;;;;1
985590;;NPG;Salattüte;D;;1;2 x 25St;2;4,25;;;;;;100St;2
985595;9340655002037;ELK;Tüllbeutel Onya Weigh;D;;1;Set;2;6,55;;;;;;;1
985604;4260284210083;NPG;ECHT BIO. Obsttüten 2kg;D;;1;500 St;2;13;;;;;;;1
985617;;NPG;ECHT BIO. Spitztüten klein;D;;1;250 St;2;3,2;;;;;;;1
985619;4260284210106;NPG;ECHT BIO. Spitztüten 1,25kg;D;;1;500 St;2;9,5;;;;;;;1
985624;4260284210113;NPG;ECHT BIO.Käsepapier-Frischpack;D;;10;kg;2;2,76;;;;;;;1
985679;;EBR;ECHT BIO. Regalstoppersatz;D;;1;Satz;2;2,5;;;;;;;1
985681;;NPG;ECHT BIO. Verkostungspikser;D;;1;48 St;2;5,4;;;;;;;1
985728;4260284210373;EBR;ECHT BIO. Gemüseschild klein;D;;1;25 St;2;3,2;;;;;;;1
985748;4260284210380;EBR;ECHT BIO. Käseschild Blanko;D;;1;25 St;2;3;;;;;;;1
985926;4260284210540;EBR;ECHT BIO. Plakat Klassiker;D;##;1;St;2;15;;;;;;;1
986045;4260284211981;EBR;ECHT BIO Bistroschürze schwarz;;;1;;2;15,3;;;;;;;1
986192;4260284210878;NPG;Regional Verkostungsspießchen;D;;1;50 St;2;3,9;;;;;;;1
986201;4260284210120;NPG;ECHT BIO. Bäckerseide braun;D;;10;kg;2;3,06;;;;;;;1
986203;;NPG;ECHT BIO. Rollenpapier braun;D;;10;kg;2;3,1;;;;;;;1
986204;4260284211813;NPG;Sahneabdeckpapier klein;D;;1;1000 St;2;4,5;;;;;;;1
986205;4260284211820;NPG;Sahneabdeckpapier groß;D;;1;1000 St;2;8,6;;;;;;;1
986206;4260284211837;NPG;Pergamin-Zuschnitt, 1/8 Bogen;D;;1;1000 St;2;21;;;;;;;1
986211;4260284210168;NPG;ECHT BIO.Baguette Faltenbeutel;D;;1;500 St;2;12;;;;;;;1
986212;4260284211073;NPG;ECHT BIO-Faltenbtl f Käsestück;D;;1;1000 St;2;21;;;;;;1St;0,001
986213;4260284211721;NPG;ECHT BIO. Pergaminbeutel;D;;1;100 St;2;3,9;;;;;;;1
986221;4260284210137;NPG;ECHT BIO. Faltenbeutel klein;D;;1;1000 St;2;10,3;;;;;;1St;0,001
986241;4260284210144;NPG;ECHT BIO. Faltenbeutel mittel;D;;1;1000 St;2;14,7;;;;;;1St;0,001
986261;4260284210151;NPG;ECHT BIO. Faltenbeutel groß;D;;1;1000 St;2;21;;;;;;1St;0,001
986270;;EBR;ECHT BIO. Aufkleber rund;D;;1;100 St;2;3,4;;;;;;;1
986271;7321011630806;NPG;Box, klein mit Deckel;D;;1;50 St;2;7,4;;;;;;;1
986272;4260284211127;NPG;Box, groß mit Deckel;D;;1;50 St;2;12;;;;;;;1
986273;;NPG;Ef_Foodbox klein;D;;1;50 St;2;4,8;;;;;;;1
986274;;NPG;Ef_Foodbox mittel;D;;1;50 St;2;6,3;;;;;;;1
986275;;NPG;Foodbox groß;D;;1;40 St;2;7,6;;;;;;;1
986276;4260284211943;EBR;Aufkleber Samenfeste Sorte;D;;1;100 St;2;2,7;;;;;;;1
986277;4260284211936;EBR;Aufkleber Regional ist 1. Wahl;D;;1;100 St;2;2,7;;;;;;;1
986291;4260284211479;NPG;Salatschale klein, unbedruckt;D;;1;50 St;2;6,5;;;;;;;1
